CIRCLE,DISTRICT,ZONE_ID,GRID_NAME,FEEDER_NAME,SUBSTATION_NAME,OPEN_DATE,CLOSE_DATE,FAULT_TYPE,FAULT_REASON,ZSO_NAME,LAST_PROTECTION_VISITOR_NAME,,
CITY CIRCLE,MOTI NAGAR,1301,SUDARSHAN PARK GRID,PUMPING STATION MOTI NAGAR,NA,4/22/2020 10:20,4/22/2020 11:20,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1301,SUDARSHAN PARK GRID,24 BLOCK MOTI NAGAR,1301_24 BLOCK MOTI NAGAR_19464967,4/22/2020 11:09,4/22/2020 16:00,Cable Fault,Cable damaged,,,,
CITY CIRCLE,MOTI NAGAR,1301,SUDARSHAN PARK GRID,24 BLOCK MOTI NAGAR,1301_24 BLOCK MOTI NAGAR_19464967,4/22/2020 11:18,4/22/2020 12:00,Cable Fault,Cable damaged,,,,
CITY CIRCLE,MOTI NAGAR,1301,SUDARSHAN PARK GRID,24 BLOCK MOTI NAGAR,NA,4/22/2020 10:40,4/22/2020 12:03,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1301,SUDARSHAN PARK GRID,24 BLOCK MOTI NAGAR,NA,4/22/2020 11:45,4/22/2020 12:35,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1303,VISHAL GRID,BALI NGR NO-1,1303_BALI NAGAR (I/D)_19464856,4/22/2020 14:20,4/22/2020 16:00,Transient Fault,Restored,,,,
CITY CIRCLE,MOTI NAGAR,1303,VISHAL GRID,BALI NGR NO-1,VISHAL GRID_19413121,4/22/2020 15:07,4/22/2020 15:36,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1303,VISHAL GRID,BALI NGR NO-1,1303_BASAI OLD_19464858,4/22/2020 17:39,4/22/2020 18:05,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,BSES-B-32 MAYAPURI,REWARI LINE GRID_19464748,4/22/2020 17:38,4/22/2020 18:15,Cable Fault,Cable damaged,,,,
CITY CIRCLE,MOTI NAGAR,1301,SB MILL GRID,DELTON 24 NG ROAD S/STN (O/D),1301_DELTON 24 NG ROAD S/STN (O/D)_19472809,4/23/2020 0:46,4/23/2020 2:14,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1301,SB MILL GRID,DELTON 24 NG ROAD S/STN (O/D),1301_DELTON 24 NG ROAD S/STN (O/D)_19472809,4/23/2020 1:36,4/23/2020 1:59,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1301,SB MILL GRID,DELTON 24 NG ROAD S/STN (O/D),SB MILL GRID_19413127,4/23/2020 1:50,4/23/2020 2:35,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1301,KIRTI NAGAR,BREAKFAST FDR-1,1301_BREAKFAST_19464968,4/23/2020 15:56,4/23/2020 16:20,O/H Fault,Animal electrocuted,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,"NARAINA VIHAR A -BLK SHOPPING CENTRE 

NEW S/S FDR NO-2",1302_NARAINA VIHAR A - BLK SHOPPING CENTRE NEW S/S_19472916,4/23/2020 21:57,4/23/2020 22:26,Cable Fault,Cable damaged,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,"NARAINA VIHAR A -BLK SHOPPING CENTRE 

NEW S/S FDR NO-2",1302_NARAINA VIHAR A - BLK SHOPPING CENTRE NEW S/S_19472916,4/24/2020 1:35,4/24/2020 1:50,Cable Fault,Cable damaged,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,"NARAINA VIHAR A -BLK SHOPPING CENTRE 

NEW S/S FDR NO-2",1302_NARAINA VIHAR A - BLK SHOPPING CENTRE NEW S/S_19472916,4/24/2020 3:27,4/24/2020 4:21,Cable Fault,Cable damaged,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,"NARAINA VIHAR A -BLK SHOPPING CENTRE 

NEW S/S FDR NO-2",1302_CB I/D S/S_19464930,4/24/2020 4:42,4/24/2020 5:30,Other,For Opening/Connecting Jumper,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,"NARAINA VIHAR A -BLK SHOPPING CENTRE 

NEW S/S FDR NO-2",NA,4/24/2020 5:45,4/24/2020 6:00,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,"NARAINA VIHAR A -BLK SHOPPING CENTRE 

NEW S/S FDR NO-2",NA,4/24/2020 5:15,4/24/2020 5:30,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,"NARAINA VIHAR A -BLK SHOPPING CENTRE 

NEW S/S FDR NO-2",NA,4/24/2020 6:35,4/24/2020 7:28,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,SUDARSHAN PARK GRID TO BALI NAGAR I/D,NA,4/24/2020 10:56,4/24/2020 11:30,Cable Fault,Found faulty after hi pot-fault in run,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,SUDARSHAN PARK GRID TO BALI NAGAR I/D,NA,4/24/2020 11:25,4/24/2020 11:40,Cable Fault,Found faulty after hi pot-fault in run,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,SUDARSHAN PARK GRID TO BALI NAGAR I/D,NA,4/24/2020 11:34,4/24/2020 16:10,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,72 QTRS. SCIENTIST APPT.,1304_72 QTRS. SCIENTIST APPT._19465013,4/25/2020 17:02,4/25/2020 17:29,HT ABC Fault,HT ABC Insulation Damaged/ Failed,,,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,72 QTRS. SCIENTIST APPT.,NA,4/25/2020 18:39,4/25/2020 19:10,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,F BLK BALI NAGAR,1303_F BLK BALI NAGAR_19464857,4/26/2020 11:59,4/26/2020 13:28,Transient Fault,Restored,,,,
CITY CIRCLE,MOTI NAGAR,1304,INDERPURI GRID,KVS,1304_PUSA NO-1_19464820,4/26/2020 12:23,4/26/2020 12:42,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,D BLK SUDERSHAN PARK,1303_RAMGARH COLONY_19464876,4/28/2020 6:05,4/28/2020 6:12,O/H Fault,Animal electrocuted,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,SHOPPING CENTRE ,1303_CHUNNA BHATTI_19468486,4/30/2020 22:29,4/30/2020 23:28,HT ABC Fault,St. thru Failure,,,,
